epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,1269.59,0.66609,1.36867,0.59282,1.08489,0.85435,0.62605,0.6955,0.44519,0.84862,0.62185,0.67792,0.3913,1.21471,2.42483,0.92549,1.4624,0.000505,0.000505,0.000505
52,1289.2,0.67362,1.37391,0.60928,1.09686,0.81931,0.64706,0.69851,0.4526,0.81083,0.63866,0.67572,0.3854,1.16394,2.4566,0.93096,1.47849,0.0004951,0.0004951,0.0004951
53,1308.72,0.65794,1.30679,0.59404,1.08197,0.78195,0.63866,0.68759,0.45759,0.75559,0.63648,0.64985,0.37934,1.15082,2.47385,0.897,1.43373,0.0004852,0.0004852,0.0004852
54,1328.38,0.65848,1.39187,0.59625,1.08053,0.8204,0.64286,0.69405,0.45374,0.84785,0.60878,0.65471,0.37922,1.20504,2.42709,0.90799,1.46055,0.0004753,0.0004753,0.0004753
55,1347.96,0.64933,1.3304,0.5831,1.07982,0.7892,0.61765,0.6767,0.43103,0.76785,0.63025,0.67227,0.38571,1.26378,2.38015,0.93081,1.54881,0.0004654,0.0004654,0.0004654
56,1367.51,0.66808,1.36769,0.5996,1.10299,0.8653,0.59382,0.6814,0.44752,0.88362,0.60614,0.68443,0.39289,1.18231,2.31958,0.96566,1.44979,0.0004555,0.0004555,0.0004555
57,1388.13,0.64764,1.36469,0.59692,1.08351,0.90326,0.60924,0.6779,0.44834,0.90326,0.60924,0.68058,0.38791,1.20496,2.38225,1.0286,1.47509,0.0004456,0.0004456,0.0004456
58,1407.91,0.63073,1.28779,0.57614,1.07134,0.86547,0.60924,0.69472,0.46685,0.88338,0.62185,0.68644,0.39678,1.14514,2.40926,0.83764,1.42442,0.0004357,0.0004357,0.0004357
59,1427.66,0.63089,1.34288,0.56437,1.071,0.88388,0.60765,0.6934,0.47146,0.8961,0.61605,0.69751,0.40555,1.14503,2.32581,0.88722,1.42498,0.0004258,0.0004258,0.0004258
60,1447.4,0.62134,1.3014,0.56844,1.06559,0.88251,0.59664,0.68652,0.48377,0.90308,0.60924,0.69023,0.39917,1.05706,2.2987,0.88614,1.33896,0.0004159,0.0004159,0.0004159
61,1467.29,0.60176,1.28895,0.54234,1.06439,0.82328,0.64593,0.69609,0.48436,0.81695,0.65126,0.68142,0.40214,1.07115,2.29776,0.8705,1.34578,0.000406,0.000406,0.000406
62,1487.28,0.58894,1.20106,0.53091,1.0449,0.86581,0.62185,0.69268,0.48945,0.85411,0.61345,0.66493,0.39338,1.09522,2.53851,0.86108,1.39731,0.0003961,0.0003961,0.0003961
63,1507.15,0.60538,1.29786,0.54489,1.0512,0.87083,0.57983,0.69308,0.48484,0.87714,0.58403,0.68488,0.41335,1.07964,2.22652,0.85968,1.35369,0.0003862,0.0003862,0.0003862
64,1527.04,0.59645,1.25903,0.53769,1.04629,0.8728,0.61345,0.70168,0.48487,0.91456,0.58468,0.68832,0.40759,1.13905,2.33082,0.87459,1.40142,0.0003763,0.0003763,0.0003763
65,1546.75,0.61611,1.29854,0.52386,1.06231,0.88189,0.63866,0.70319,0.49094,0.88189,0.63866,0.69998,0.40482,1.10002,2.27056,0.83956,1.36879,0.0003664,0.0003664,0.0003664
66,1567.52,0.60462,1.26903,0.52808,1.05444,0.89704,0.62236,0.70168,0.49935,0.90319,0.62719,0.7046,0.41742,1.06543,2.28472,0.79916,1.32343,0.0003565,0.0003565,0.0003565
67,1587.04,0.59815,1.25493,0.52767,1.0641,0.86931,0.58824,0.69138,0.48043,0.8819,0.59664,0.69317,0.41039,1.07341,2.24395,0.82406,1.33487,0.0003466,0.0003466,0.0003466
68,1606.65,0.57817,1.23498,0.53656,1.04262,0.91224,0.61149,0.70419,0.48639,0.8998,0.6037,0.69901,0.40923,1.07441,2.36029,0.85271,1.34285,0.0003367,0.0003367,0.0003367
69,1626.33,0.59758,1.22466,0.52953,1.0546,0.85796,0.63025,0.7045,0.48731,0.85912,0.64059,0.69765,0.41644,1.05418,2.26148,0.83406,1.35518,0.0003268,0.0003268,0.0003268
70,1646.06,0.56385,1.19803,0.50006,1.03357,0.86009,0.64286,0.71345,0.51139,0.87255,0.63283,0.70818,0.42152,1.04561,2.24212,0.81603,1.32342,0.0003169,0.0003169,0.0003169
71,1665.71,0.56751,1.19323,0.51337,1.04116,0.84728,0.62939,0.71156,0.518,0.84674,0.63866,0.70517,0.42557,1.01422,2.22866,0.81461,1.30297,0.000307,0.000307,0.000307
72,1685.23,0.57441,1.23001,0.50644,1.03528,0.8663,0.65342,0.71441,0.50741,0.87908,0.65966,0.70964,0.4307,1.04306,2.25126,0.80719,1.33463,0.0002971,0.0002971,0.0002971
73,1704.64,0.54715,1.19766,0.4927,1.03615,0.86631,0.64286,0.7281,0.51386,0.89929,0.64286,0.71819,0.44251,1.02135,2.20072,0.77431,1.30925,0.0002872,0.0002872,0.0002872
74,1724.12,0.54647,1.17035,0.49444,1.02821,0.82045,0.672,0.72783,0.5223,0.82497,0.67333,0.73046,0.43869,0.99483,2.18172,0.76581,1.28476,0.0002773,0.0002773,0.0002773
75,1743.62,0.55415,1.15989,0.48886,1.02899,0.84718,0.65126,0.72072,0.52315,0.85811,0.65966,0.72236,0.43017,0.99955,2.19491,0.76934,1.28558,0.0002674,0.0002674,0.0002674
76,1763.12,0.54606,1.2168,0.48358,1.02427,0.85527,0.65966,0.71806,0.51538,0.8574,0.65966,0.71146,0.42277,1.02273,2.21,0.80269,1.30664,0.0002575,0.0002575,0.0002575
77,1782.93,0.5473,1.19223,0.46937,1.02662,0.9054,0.66387,0.73107,0.52679,0.91113,0.66807,0.7264,0.44094,1.01911,2.15014,0.74003,1.29217,0.0002476,0.0002476,0.0002476
78,1802.77,0.5517,1.18832,0.4827,1.03248,0.88365,0.63821,0.72401,0.52432,0.88588,0.63866,0.71951,0.44665,1.00649,2.13437,0.75898,1.29669,0.0002377,0.0002377,0.0002377
79,1822.53,0.5298,1.14855,0.46726,1.01086,0.91151,0.64917,0.72953,0.53177,0.92196,0.64533,0.7197,0.45473,0.99213,2.13358,0.74728,1.3016,0.0002278,0.0002278,0.0002278
80,1842.12,0.54309,1.16889,0.47642,1.03848,0.91985,0.61765,0.72458,0.51822,0.93262,0.62605,0.71189,0.44259,0.99973,2.13511,0.77081,1.31448,0.0002179,0.0002179,0.0002179
81,1867.59,0.52802,1.16584,0.4674,1.01768,0.94341,0.65126,0.74096,0.5467,0.94341,0.65126,0.72516,0.4449,0.95783,2.12009,0.70815,1.26869,0.000208,0.000208,0.000208
82,1890.07,0.54464,1.17402,0.46355,1.03211,0.8933,0.66839,0.74541,0.54413,0.89309,0.66689,0.73501,0.44817,0.9815,2.09955,0.69644,1.28089,0.0001981,0.0001981,0.0001981
83,1909.95,0.54355,1.18717,0.47994,1.0228,0.83215,0.70588,0.74743,0.5517,0.83567,0.70511,0.74591,0.45451,0.96537,2.09672,0.70019,1.2673,0.0001882,0.0001882,0.0001882
84,1929.44,0.53095,1.19679,0.47016,1.01565,0.82144,0.67652,0.74744,0.55921,0.89455,0.64156,0.74107,0.45317,0.9496,2.11986,0.68419,1.24623,0.0001783,0.0001783,0.0001783
